player_api_id,player_name,birthday,height,weight
261599,Adnane Tighadouini,1992-11-30 00:00:00,177.8,159
102572,Adrian Colunga,1984-11-17 00:00:00,172.72,154
482331,Adrian Embarba,1992-05-07 00:00:00,172.72,146
169756,Adrian,1987-01-31 00:00:00,187.96,170
33992,Adriano,1984-10-26 00:00:00,172.72,161
41168,Alberto Bueno,1988-03-20 00:00:00,177.8,141
543020,Alberto Guitian,1990-07-29 00:00:00,182.88,163
50047,Alexis Sanchez,1988-12-19 00:00:00,170.18,137
33025,Andoni Iraola,1982-06-22 00:00:00,182.88,163
40956,Andre Castro,1988-04-02 00:00:00,180.34,165
361770,Andre Gomes,1993-07-30 00:00:00,187.96,185
57057,Andres Lamas,1984-01-16 00:00:00,187.96,179
38573,Angel Lafita,1984-08-07 00:00:00,187.96,161
71619,Anthony Annan,1986-07-21 00:00:00,175.26,141
11736,Antolin Alcaraz,1982-07-30 00:00:00,187.96,176
40648,Antonio Adan,1987-05-13 00:00:00,190.5,203
41542,Antonio Floro Flores,1983-06-18 00:00:00,182.88,172
37433,Antonio Guayre,1980-04-23 00:00:00,175.26,157
517294,Antonio Marin Molina,1996-06-17 00:00:00,177.8,165
39792,Arda Turan,1987-01-30 00:00:00,177.8,168
38842,Arthur Boka,1983-04-02 00:00:00,165.1,143
102002,Asier Goiria,1980-09-19 00:00:00,182.88,170
72623,Augusto Fernandez,1986-04-10 00:00:00,177.8,157
411617,Aymeric Laporte,1994-05-27 00:00:00,187.96,187
25551,Bartholomew Ogbeche,1984-10-01 00:00:00,177.8,172
206830,Bartlomiej Pawlowski,1992-11-13 00:00:00,177.8,154
200917,Borja Baston,1992-08-25 00:00:00,190.5,181
38379,Braulio,1985-09-18 00:00:00,182.88,170
206679,Bryan Rabello,1994-05-16 00:00:00,165.1,141
358289,Carles Gil,1992-11-02 00:00:00,170.18,143
38887,Carlos Acuna,1988-06-23 00:00:00,177.8,157
33024,Carlos Gurpegi,1980-08-19 00:00:00,180.34,165
32675,Cata Diaz,1979-07-13 00:00:00,182.88,176
30613,Cesc Fabregas,1987-05-04 00:00:00,175.26,163
92375,Cezary Wilk,1986-02-12 00:00:00,182.88,168
74663,Chico,1987-03-06 00:00:00,187.96,165
242887,Christian Atsu,1992-01-10 00:00:00,172.72,150
37421,Claudio Bravo,1983-04-13 00:00:00,182.88,176
37473,Cosmin Contra,1975-12-15 00:00:00,180.34,163
113695,Cristian Alvarez,1985-11-13 00:00:00,185.42,194
102628,Cristian Bustos,1983-05-29 00:00:00,175.26,165
37445,Cristian Hidalgo,1983-09-21 00:00:00,170.18,146
33889,Cristian Portilla,1988-08-28 00:00:00,180.34,165
56867,Damian Escudero,1987-04-01 00:00:00,175.26,163
195335,Damian Suarez,1988-04-27 00:00:00,172.72,165
26345,Damien Perquis,1984-04-10 00:00:00,185.42,165
151058,Dani Benitez,1987-04-07 00:00:00,182.88,161
433311,Dani Garcia,1990-05-01 00:00:00,180.34,165
183348,Dani Hernandez,1985-10-21 00:00:00,195.58,196
33018,Daniel Aranzubia,1979-09-18 00:00:00,185.42,181
196126,Daniel Gimenez,1983-07-30 00:00:00,182.88,170
522576,Daniel Pinillos,1992-10-22 00:00:00,182.88,163
570432,Danilo,1996-02-28 00:00:00,182.88,163
33767,David Garcia,1981-01-16 00:00:00,177.8,165
